Symbol,Company Name,Sector,Industry
CUEYF,***CUE ENERGY RES NL NEW ENGLAND,,
PDMDF,***PETRA DIAMONDS US LISTED,,
KJWNF,***WESSANEN NV KONINKLIJKE,,
OCQLF,01 COMMUNIQUE LABORATORY INC,Information Technology,Software
EEIG,024 Pharma Inc,Consumer Staples,Personal Products
TXG,10X Genomics Inc,Health Care,Life Sciences Tools & Services
YI,111 Inc - ADR,Consumer Staples,Food & Staples Retailing
RETC,12 Retech Corp,,
CSYS,123CSS Corp,,
PIH,1347 Property Insurance Holdings Inc,Financials,Insurance
ONCP,141 Capital Inc,,
TURN,180 Degree Capital Corp,Financials,Capital Markets
FLWS,1-800-Flowers.Com Inc,Consumer Discretionary,Internet & Direct Marketing Retail
EFSH,1847 Holdings LLC,,
BCOW,1895 Bancorp of Wisconsin Inc,Financials,Thrifts & Mortgage Finance
ONEM,1life Healthcare Inc,,
ISOL,1mage Software Inc,,
OPMZ,1PM Industries Inc,Industrials,Professional Services
FCCY,1st Constitution Bancorp,Financials,Banks
FNRC,1st NRG Corp.,Energy,"Oil, Gas & Consumable Fuels"
FPWM,1st Prestige Wealth Management,Financials,Capital Markets
SRCE,1st Source Corporation,Financials,Banks
ETFM,2050 Motors Inc,,
VNET,21Vianet Group Inc - ADR,Information Technology,IT Services
XXII,22nd Century Group Inc,Consumer Staples,Tobacco
TWOU,2U Inc,Information Technology,Software
SOLY,360 Degree Solar Holdings Inc,Health Care,Health Care Equipment & Supplies
QFIN,360 Finance Inc,Financials,Consumer Finance
KRKR,36Kr Holdings Inc - ADR,Communication Services,Interactive Media & Services
MRJT,3D MakerJet Inc,,
DPSM,3D Pioneer Systems Inc,Information Technology,Software
DDD,3D Systems Corporation,Information Technology,"Technology Hardware, Storage & Peripherals"
DDDX,3DX Industries Inc,Industrials,Machinery
MMM,3M Co,Industrials,Industrial Conglomerates
PSPW,3Power Energy Group Inc,Utilities,Independent Power & Renewable Electricity Producers
FLES,4 Less Group Inc,,
FTPM,420 Property Management Inc,,
RLPHQ,4504020 Canada Inc,Industrials,Machinery
FNINF,49 NORTH RESOURCES INC,Financials,Capital Markets
CATV,4Cable TV International Inc,,
DDDD,4D Molecular Therapeutics LLC,,
FSCGF,4SC AG 4 SC AG KONV,,
WBAI,500.com Ltd,Consumer Discretionary,"Hotels, Restaurants & Leisure"
JOBS,"51job, Inc. (ADR)",Industrials,Professional Services
WUBA,58.com Inc (ADR),Communication Services,Interactive Media & Services
FPLSF,5N PLUS INC,Materials,Chemicals
SIXD,6D Global Technologies Inc,Information Technology,IT Services
RNWR,808 Renewable Energy Corp,Utilities,Independent Power & Renewable Electricity Producers
ETNB,89bio Inc,Health Care,Biotechnology
JFK,8I Enterprises Acquisition Corp,,
EGHT,"8x8, Inc.",Information Technology,Software
NMTR,9 Meters Biopharma Inc,Health Care,Pharmaceuticals
JFU,9F Inc - ADR,Communication Services,Interactive Media & Services
APCDF,A CAP ENERGY LTD ORD SHS,,
